link,Company expertise,Company performance,Employee characteristics,Global presence,Information sharing,Leading edge technology/innovation,Legacy,Openness,Positive attitude towards customers,Sharing personal information,Work environment,New product,Product benefits,Product features,Product pride,Recommended product usage,Specific product mention,Company interaction with customers,Customer needs,Customer service,Positive customer opinions,Brand,Events,Public relations,Promotion,Sponsorship,Charity/community,Environment,Competition,Partnerships
https://futurice.com/blog/designops-small-team-starter-guide,True,False,True,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
https://futurice.com/blog/european-accessibility-act,True,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,True,True,True,True,False,True,False,False,True,False,True,False
https://futurice.com/blog/group-decision-making-challenges,True,False,False,False,True,True,False,False,False,False,True,True,True,True,False,True,False,False,True,False,False,True,False,True,True,False,False,False,False,False
https://futurice.com/blog/futustories-from-consulting-to-programming,True,False,True,False,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
https://futurice.com/blog/car-companion-apps,True,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False
https://futurice.com/blog/text-mining-data-enabled-decision-making,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
https://futurice.com/blog/how-data-powered-ecosystems-can-deliver-for-all,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,True
https://futurice.com/blog/twin-transition-impact-and-actions-for-german-business,True,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,True,False,True
https://futurice.com/blog/germany-twin-transition-challenges-opportunities-findings,True,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,True,False,True,True,False,False
https://futurice.com/blog/data-enhanced-automotive-customer-service,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,False,False,False,False,False
https://futurice.com/blog/participate-in-strategy,True,False,True,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,True,True,False,True,False,True,True
https://futurice.com/blog/three-steps-to-after-sales-success,True,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,True,False,False,False
https://futurice.com/blog/potential-of-industrial-iot,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False
https://futurice.com/blog/generative-ai-at-futurice-software-development,True,False,False,False,True,True,False,False,False,False,True,True,True,True,False,True,False,False,True,False,False,True,False,True,True,False,False,False,False,False
