,link,title,teaser text,total users,average session duration,bounce rate,title x,title y,teaser text x,teaser text y
0,https://futurice.com/blog/designops-small-team-starter-guide,DesignOps - Small team starter guide,"DesignOps is a powerful framework that works for small teams too. Get practical guidance on: clarifying your org model, defining processes, standardizing tools, building sources of truth, and nurturing transparency.",0,0,0,-32.06526,-18.70811,-4.732456,-5.366552
1,https://futurice.com/blog/european-accessibility-act,Navigating the European Accessibility Act,"Digital accessibility is soon to be mandatory for private actors. Banking, transport and e-commerce are a few industries affected. Learn more about who’s affected and what’s expected. ",0,0,0,2.766458,-1.8427434,11.933609,-52.37401
2,https://futurice.com/blog/group-decision-making-challenges,"Practical tips for facilitating high-quality, strategic, and data-driven decisions in management meetings",This article helps you recognize the most common challenges in facilitating decision-making in a group situation and gives you some practical ideas how to overcome them. ,0,0,0,-37.731537,10.77844,33.45526,-32.46137
3,https://futurice.com/blog/futustories-from-consulting-to-programming,Better late than never – Sander’s shift from consulting to programming,"From consulting to coding, discover Sander Nobel's journey to software development at Futurice, a shift inspired by opportunity and curiosity.",0,0,0,-15.293346,12.2201185,-36.38187,43.286934
4,https://futurice.com/blog/car-companion-apps,Car companion apps - the tip of the automotive iceberg,"Many car manufacturers are missing the market with their car companion apps. We look at why, and what they can do about it.",0,0,0,24.791029,-38.253937,20.253798,-35.896454
5,https://futurice.com/blog/text-mining-data-enabled-decision-making,Unlock data-informed conversations and decision-making with text mining,Text mining is a multi-purpose tool to extract insights from various data sources. Here’s how to get started!,0,0,0,-37.555763,9.464545,36.090473,5.600175
6,https://futurice.com/blog/how-data-powered-ecosystems-can-deliver-for-all,"How data-powered ecosystems can deliver for all: patients, partners and HCPs ",Discover the transformative power of ecosystems by following how JRS supports customers and healthcare professionals with its interoperable platform approach.,0,0,0,7.441001,-40.791073,35.60019,-36.975616
7,https://futurice.com/blog/twin-transition-impact-and-actions-for-german-business,Twin transition survey: Impact and actions for German business,"We asked automotive, IT and healthcare executives in Germany about twin transition. Here is the impact on German business including actionable recommendations.",0,0,0,15.076477,6.2642307,41.51884,-59.721775
8,https://futurice.com/blog/germany-twin-transition-challenges-opportunities-findings,What do German executives see as the biggest opportunities and challenges in twin transition?,"We asked automotive, IT and healthcare executives in Germany about twin transition. Here’s what they see as the biggest challenges and opportunities.",0,0,0,16.293896,6.472127,42.51614,-59.26576
9,https://futurice.com/blog/data-enhanced-automotive-customer-service,Driving excellence in customer service,The future of customer service in the automotive industry is data-driven and customer-centric. So how can you drive excellence through smarter operations powered by data and analytics?,0,0,0,7.625223,-51.356533,28.222425,-6.387728
